error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
3.2815683692122515	19.101145030506867	False	False	False	False	0.06918272870099496
3.2815683692122515	23.23041410288293	False	False	False	False	0.0937927520429529
3.2815683692122515	28.252345004947657	False	False	False	False	0.12491860587255932
3.2815683692122515	34.35991260179622	False	False	False	False	0.1637935198693199
3.2815683692122515	41.787808898564755	False	False	False	False	0.21199034537057204
3.2815683692122515	50.82146141581522	False	False	False	False	0.2717277279635384
3.2815683692122515	61.80800114953867	True	True	False	False	
3.2815683692122515	75.16960157530129	True	True	False	False	
3.2815683692122515	91.41970126681093	True	True	False	False	
3.2815683692122515	111.18273350618666	True	True	False	False	
3.2815683692122515	135.21812102437377	True	True	False	False	
3.2815683692122515	164.44945790386396	True	True	False	False	
3.2815683692122515	200.0	True	True	False	False	
3.9909749913929575	1.5	False	False	False	False	0.0006469165802103216
3.9909749913929575	1.8242687073822879	False	False	False	False	0.0010895920559794714
3.9909749913929575	2.2186375444894955	False	False	False	False	0.0016719969889995578
3.9909749913929575	2.6982606969571097	False	False	False	False	0.0024719992348805064
3.9909749913929575	3.2815683692122515	False	False	False	False	0.0036212569730336153
3.9909749913929575	3.9909749913929575	False	False	False	False	0.005333877564033029
3.9909749913929575	4.853740525828978	False	False	False	False	0.007939222166611026
3.9909749913929575	5.90301797001537	False	False	False	False	0.011912071970147764
3.9909749913929575	7.179127307876238	False	False	False	False	0.017893285956646077
3.9909749913929575	8.731104862714846	False	False	False	False	0.026700480923614434
3.9909749913929575	10.618587587949342	False	False	False	False	0.03933947068277521
3.9909749913929575	12.914104702195969	False	False	False	False	0.057037579569825914
3.9909749913929575	15.705864728049711	False	False	False	False	0.08132795344925836
3.9909749913929575	19.101145030506867	False	False	False	False	0.11423128566062424
3.9909749913929575	23.23041410288293	False	False	False	False	0.15864359866906175
3.9909749913929575	28.252345004947657	False	False	False	False	0.21926218032429645
3.9909749913929575	34.35991260179622	False	False	False	False	0.30535409350488596
3.9909749913929575	41.787808898564755	True	True	False	False	
3.9909749913929575	50.82146141581522	True	True	False	False	
3.9909749913929575	61.80800114953867	True	True	False	False	
3.9909749913929575	75.16960157530129	True	True	False	False	
3.9909749913929575	91.41970126681093	True	True	False	False	
3.9909749913929575	111.18273350618666	True	True	False	False	
3.9909749913929575	135.21812102437377	True	True	False	False	
3.9909749913929575	164.44945790386396	True	True	False	False	
3.9909749913929575	200.0	True	True	False	False	
4.853740525828978	1.5	False	False	False	False	0.0008635855195600062
4.853740525828978	1.8242687073822879	False	False	False	False	0.0014735643177252733
4.853740525828978	2.2186375444894955	False	False	False	False	0.002301159988902235
4.853740525828978	2.6982606969571097	False	False	False	False	0.0034776736585846457
4.853740525828978	3.2815683692122515	False	False	False	False	0.005223251128870343
4.853740525828978	3.9909749913929575	False	False	False	False	0.007890545060845966
4.853740525828978	4.853740525828978	False	False	False	False	0.012013378322621504
4.853740525828978	5.90301797001537	False	False	False	False	0.01835379395204595
4.853740525828978	7.179127307876238	False	False	False	False	0.02794684482950416
4.853740525828978	8.731104862714846	False	False	False	False	0.0421588392720047
4.853740525828978	10.618587587949342	False	False	False	False	0.0628005704180905
4.853740525828978	12.914104702195969	False	False	False	False	0.09237986549457644
4.853740525828978	15.705864728049711	False	False	False	False	0.1346905351801384
4.853740525828978	19.101145030506867	False	False	False	False	0.19636202727593166
4.853740525828978	23.23041410288293	False	False	False	False	0.292268286479495
4.853740525828978	28.252345004947657	True	True	False	False	
4.853740525828978	34.35991260179622	True	True	False	False	
4.853740525828978	41.787808898564755	True	True	False	False	
4.853740525828978	50.82146141581522	True	True	False	False	
4.853740525828978	61.80800114953867	True	True	False	False	
4.853740525828978	75.16960157530129	True	True	False	False	
4.853740525828978	91.41970126681093	True	True	False	False	
4.853740525828978	111.18273350618666	True	True	False	False	
4.853740525828978	135.21812102437377	True	True	False	False	
4.853740525828978	164.44945790386396	True	True	False	False	
4.853740525828978	200.0	True	True	False	False	
5.90301797001537	1.5	False	False	False	False	0.0011532180662385816
5.90301797001537	1.8242687073822879	False	False	False	False	0.0020003760117608405
5.90301797001537	2.2186375444894955	False	False	False	False	0.0031902914199264387
5.90301797001537	2.6982606969571097	False	False	False	False	0.004942134045934354
5.90301797001537	3.2815683692122515	False	False	False	False	0.007619013459136292
5.90301797001537	3.9909749913929575	False	False	False	False	0.011794068417032122
5.90301797001537	4.853740525828978	False	False	False	False	0.01832606680565174
5.90301797001537	5.90301797001537	False	False	False	False	0.028446118285865074
5.90301797001537	7.179127307876238	False	False	False	False	0.04387954526956439
5.90301797001537	8.731104862714846	False	False	False	False	0.06707626326647476
5.90301797001537	10.618587587949342	False	False	False	False	0.10173636908038275
5.90301797001537	12.914104702195969	False	False	False	False	0.1541866970610941
5.90301797001537	15.705864728049711	False	False	False	False	0.23797893643336732
5.90301797001537	19.101145030506867	True	True	False	False	
5.90301797001537	23.23041410288293	True	True	False	False	
5.90301797001537	28.252345004947657	True	True	False	False	
5.90301797001537	34.35991260179622	True	True	False	False	
5.90301797001537	41.787808898564755	True	True	False	False	
5.90301797001537	50.82146141581522	True	True	False	False	
5.90301797001537	61.80800114953867	True	True	False	False	
5.90301797001537	75.16960157530129	True	True	False	False	
5.90301797001537	91.41970126681093	True	True	False	False	
5.90301797001537	111.18273350618666	True	True	False	False	
5.90301797001537	135.21812102437377	True	True	False	False	
5.90301797001537	164.44945790386396	True	True	False	False	
5.90301797001537	200.0	True	True	False	False	
7.179127307876238	1.5	False	False	False	False	0.0015510955687285666
7.179127307876238	1.8242687073822879	False	False	False	False	0.0027446116684586297
7.179127307876238	2.2186375444894955	False	False	False	False	0.0044835122548463335
7.179127307876238	2.6982606969571097	False	False	False	False	0.007129871702830304
7.179127307876238	3.2815683692122515	False	False	False	False	0.011275850523344344
7.179127307876238	3.9909749913929575	False	False	False	False	0.017846624758054652
7.179127307876238	4.853740525828978	False	False	False	False	0.02823190458920455
7.179127307876238	5.90301797001537	False	False	False	False	0.04448154037408436
7.179127307876238	7.179127307876238	False	False	False	False	0.06968026226803858
7.179127307876238	8.731104862714846	False	False	False	False	0.10884132576721872
7.179127307876238	10.618587587949342	False	False	False	False	0.17153870163193807
7.179127307876238	12.914104702195969	False	False	False	False	0.28336579958421115
7.179127307876238	15.705864728049711	True	True	False	False	
7.179127307876238	19.101145030506867	True	True	False	False	
7.179127307876238	23.23041410288293	True	True	False	False	
7.179127307876238	28.252345004947657	True	True	False	False	
7.179127307876238	34.35991260179622	True	True	False	False	
7.179127307876238	41.787808898564755	True	True	False	False	
7.179127307876238	50.82146141581522	True	True	False	False	
7.179127307876238	61.80800114953867	True	True	False	False	
7.179127307876238	75.16960157530129	True	True	False	False	
7.179127307876238	91.41970126681093	True	True	False	False	
7.179127307876238	111.18273350618666	True	True	False	False	
7.179127307876238	135.21812102437377	True	True	False	False	
7.179127307876238	164.44945790386396	True	True	False	False	
7.179127307876238	200.0	True	True	False	False	
8.731104862714846	1.5	False	False	False	False	0.002114052172862646
8.731104862714846	1.8242687073822879	False	False	False	False	0.0038271260534477047
8.731104862714846	2.2186375444894955	False	False	False	False	0.006414361576730032
8.731104862714846	2.6982606969571097	False	False	False	False	0.010468093136864365
8.731104862714846	3.2815683692122515	False	False	False	False	0.01694756383411855
8.731104862714846	3.9909749913929575	False	False	False	False	0.027352906842159408
8.731104862714846	4.853740525828978	False	False	False	False	0.04399573590746986
8.731104862714846	5.90301797001537	False	False	False	False	0.07052770116095863
