alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.2	0.3067857142857143	0.12321428571428567	0.5488116360940264	-0.5488116360940264	0.02366750180655488	0.5661492176490285	0.04180435310824189	False
0.2	0.32690476190476186	0.10309523809523807	0.5488116360940264	-0.5488116360940264	0.019802953202392778	0.6066649443412278	0.032642323224884265	False
0.2	0.34702380952380946	0.08297619047619048	0.5488116360940264	-0.5488116360940264	0.015938404598230684	0.6471477647032196	0.024628694507721892	False
0.2	0.3671428571428571	0.06285714285714283	0.5488116360940264	-0.5488116360940264	0.012073855994068575	0.6875904201676329	0.017559662903862152	False
0.2	0.3872619047619047	0.04273809523809524	0.5488116360940264	-0.5488116360940264	0.008209307389906478	0.7279878774416804	0.011276708918225265	False
0.2	0.40738095238095234	0.022619047619047594	0.5488116360940264	-0.5488116360940264	0.00434475878574437	0.7683368338230746	0.0056547579062763515	False
0.2	0.42749999999999994	0.0025000000000000022	0.5488116360940264	-0.5488116360940264	0.0004802101815822735	0.8086353365574098	0.0005938525808514188	False
0.24	0.06535714285714285	0.3606428571428571	0.4867522559599717	-0.4867522559599717	0.061440303508547414	0.09020609746883278	0.6811103155169276	False
0.24	0.08547619047619047	0.34052380952380945	0.4867522559599717	-0.4867522559599717	0.05801275637282927	0.12689615129660622	0.45716718576618326	False
0.24	0.10559523809523809	0.32040476190476186	0.4867522559599717	-0.4867522559599717	0.054585209237111146	0.16491548047478125	0.33098899557496836	False
0.24	0.1257142857142857	0.30028571428571427	0.4867522559599717	-0.4867522559599717	0.05115766210139302	0.20380262851831912	0.25101571296365605	False
0.24	0.14583333333333331	0.2801666666666666	0.4867522559599717	-0.4867522559599717	0.047730114965674884	0.24327266495805228	0.19620007440583195	False
0.24	0.16595238095238093	0.26004761904761897	0.4867522559599717	-0.4867522559599717	0.04430256782995674	0.28313917646107756	0.15646922613708636	False
0.24	0.18607142857142855	0.23992857142857138	0.4867522559599717	-0.4867522559599717	0.04087502069423861	0.32327512167157857	0.1264403536000037	False
0.24	0.20619047619047617	0.21980952380952376	0.4867522559599717	-0.4867522559599717	0.037447473558520475	0.3635913152033327	0.10299331142598543	False
0.24	0.2263095238095238	0.19969047619047614	0.4867522559599717	-0.4867522559599717	0.03401992642280234	0.4040237759613656	0.084202783219509	False
0.24	0.24642857142857139	0.17957142857142855	0.4867522559599717	-0.4867522559599717	0.030592379287084213	0.4445258882626736	0.068820242183526	False
0.24	0.26654761904761903	0.1594523809523809	0.4867522559599717	-0.4867522559599717	0.027164832151366076	0.4850633369835424	0.05600264971641784	False
0.24	0.2866666666666666	0.1393333333333333	0.4867522559599717	-0.4867522559599717	0.023737285015647945	0.5256107202753384	0.04516134108378401	False
0.24	0.3067857142857143	0.11921428571428566	0.4867522559599717	-0.4867522559599717	0.020309737879929807	0.5661492176490285	0.03587347159864906	False
0.24	0.32690476190476186	0.09909523809523807	0.4867522559599717	-0.4867522559599717	0.01688219074421168	0.6066649443412278	0.027827865944263362	False
0.24	0.34702380952380946	0.07897619047619048	0.4867522559599717	-0.4867522559599717	0.01345464360849355	0.6471477647032196	0.020790682348510958	False
0.24	0.3671428571428571	0.05885714285714283	0.4867522559599717	-0.4867522559599717	0.010027096472775412	0.6875904201676329	0.014582949643671343	False
