label	name	j_over_jcrit	tr_J
stable	draw583	0.8881883299480073	-1.1698593971421973
stable	draw583	0.8944826146987289	-1.1349664704346925
stable	draw583	0.8952852348797627	-1.13050767307715
stable	draw583	0.9003188899465472	-1.1024859923030086
stable	draw583	0.9061485864709883	-1.0698850817504204
stable	draw583	0.9112820665663095	-1.0410161945628713
stable	draw583	0.9119583447919175	-1.0372000867525317
stable	draw583	0.9173172124056911	-1.0068394433805299
stable	draw583	0.922718220658307	-0.9759907247313948
stable	draw583	0.9262893494015229	-0.9554323645469663
stable	draw583	0.9279611692087436	-0.9457583971950785
stable	draw583	0.9328777444397544	-0.9171034893838266
stable	draw583	0.9378079365344422	-0.8880191640161682
stable	draw583	0.9402054656670427	-0.8737303087367764
stable	draw583	0.942482992942109	-0.8600584191705083
stable	draw583	0.9469198932693219	-0.8331178600887402
stable	draw583	0.9513424593361494	-0.8058033992703579
stable	draw583	0.9529269784884892	-0.7958897375109011
stable	draw583	0.9554519425242927	-0.7799370543209939
stable	draw583	0.9593776164475748	-0.7547124276779877
stable	draw583	0.9632621139124404	-0.7291659913041835
stable	draw583	0.9643495072431277	-0.7218955400167837
stable	draw583	0.9668109782475508	-0.70522134196553
stable	draw583	0.9702006308921339	-0.6817065715552326
stable	draw583	0.9735238843874008	-0.6579183563925259
stable	draw583	0.9743687494307999	-0.651736902274668
stable	draw583	0.9765187116173797	-0.6357279113300945
stable	draw583	0.9793550498730244	-0.6139086245848445
stable	draw583	0.9821018444649521	-0.5918602360762866
stable	draw583	0.9828816321746446	-0.5854059506729318
stable	draw583	0.9845496171520489	-0.571262666982731
stable	draw583	0.986823363780969	-0.5511156372803145
stable	draw583	0.9889868824859297	-0.530779569463029
stable	draw583	0.9897875589685808	-0.5228959155021802
stable	draw583	0.9908935846454374	-0.5116208929810673
stable	draw583	0.9926037215670734	-0.49311363345739456
stable	draw583	0.9941856910998843	-0.47445292703236597
stable	draw583	0.994989691869328	-0.46419880176120143
stable	draw583	0.9955548032890541	-0.4565878914148835
stable	draw583	0.9967085189406835	-0.4396784576424303
stable	draw583	0.9977190443214764	-0.4226465888451729
stable	draw583	0.9983961727495189	-0.40930255017748585
stable	draw583	0.9985500186923032	-0.40594019506842666
stable	draw583	0.9991623517214074	-0.3905772370033866
stable	draw583	0.9996194392425983	-0.37511827147889604
stable	draw583	0.9999043375001418	-0.3596020333248787
stable	draw583	0.9999211347729413	-0.3581876759234679
stable	draw583	0.99999944161032	-0.34557040425550084
