name	ok	n_zeros	tr_at_fold	tr_at_branch_end	j_crit	j_H1	j_H2	j_last_cross	n_points	group	parity_ok	window_width
draw2985	True	1	0.2571812125516808	0.27159830745308755	0.2280345077900786	0.1757199461590991		0.1757199461590991	178	terminal	True	
draw3088	True	1	0.060965225759857744	0.04335576573165423	0.1107757118763238	0.10968507079917274		0.10968507079917274	160	terminal	True	
draw3098	True	1	0.42392909052621086	0.42707107373262665	0.0653924295568246	0.05952181971394294		0.05952181971394294	163	terminal	True	
draw3133	True	1	-0.5197922025918382	-0.5182911082553733	0.1315165125087069	0.09726985548436944		0.09726985548436944	47	window	False	
draw3163	True	2	-3.8658306826082534	-3.830939803620381	0.5376730157388014	0.34273061917239006	0.35344188006827065	0.35344188006827065	172	window	True	0.019921514716825704
draw3205	True	1	0.14343533603582498	0.08368438757506907	0.41476010643508543	0.41404059365708984		0.41404059365708984	187	terminal	True	
draw3349	True	1	0.9667762079541331	0.9661001362304924	0.17685343308314805	0.16069230071038024		0.16069230071038024	170	terminal	True	
draw3409	True	2	-0.026149512703618594	-0.025484727920049993	0.1651775596208234	0.15531532735390918	0.16375387300495514	0.16375387300495514	207	window	True	0.05108772444887325
draw3456	True	1	0.18502910132380723	0.185355127139621	0.1317050868970965	0.09862167491695072		0.09862167491695072	188	terminal	True	
draw3481	True	1	0.26380548679990956	0.26303321079932906	0.1930283487913541	0.17569346605385164		0.17569346605385164	186	terminal	True	
draw3533	True	1	0.020850650429484016	0.021768144278304175	0.1251558614230869	0.11098065917771537		0.11098065917771537	167	terminal	True	
draw3539	True	1	0.02097703454033356	0.0258531655679628	0.12147206369605529	0.11395523759083817		0.11395523759083817	178	terminal	True	
draw3572	True	2	-0.6262282725858073	-0.6001189978223571	0.7579690676869937	0.28763973247339	0.4424000084827298	0.4424000084827298	41	window	True	0.2041775616010345
draw3587	True	1	-0.19556826260733334	-0.1895161762812807	0.21281262047585575	0.18737238034606243		0.18737238034606243	36	window	False	
draw3705	True	1	0.3133996613329058	0.3450447617496917	0.7037980447113488	0.36839673895991126		0.36839673895991126	187	terminal	True	
draw3914	True	1	0.0793649048333076	0.06372389985926981	0.013945263659755501	0.01393624524436512		0.01393624524436512	120	terminal	True	
draw3923	True	1	1.2586479056138848	1.3202318023311461	0.43330527673720415	0.3566869701498626		0.3566869701498626	163	terminal	True	
draw3925	True	1	0.29932438648614507	0.2810100421730605	0.29036182969867375	0.2854793541150804		0.2854793541150804	43	terminal	True	
draw4060	True	1	0.006678598407263245	0.006607998608485106	0.010745768664093651	0.010371935574296672		0.010371935574296672	166	terminal	True	
draw4187	True	2	-1.4137685586243258	-1.3907333154188013	0.47981277218200713	0.12594712598641492	0.15816170131021037	0.15816170131021037	86	window	True	0.06713988703822064
draw4217	True	2	-2.252829039643347	-2.1129585171844356	0.3834379178994795	0.218359661303794	0.3757558024053606	0.3757558024053606	224	window	True	0.4104866361777734
draw4265	True	2	-0.8837752218914228	-0.8803626551697659	1.0761084174838287	0.48417003765857924	0.8200766571962353	0.8200766571962353	72	window	True	0.31214942108071
draw4269	True	1	0.06682178243696829	0.06741954455050933	0.5163461532369211	0.4256405534020083		0.4256405534020083	99	terminal	True	
draw4320	True	2	-0.024619438134835345	-0.022243996598497906	0.04572990508877581	0.03057203133263709	0.0448504645011064	0.0448504645011064	169	window	True	0.3122340433628821
draw4390	True	1	0.9604612004146188	0.9423466233077842	0.2702188170827769	0.2535775631061221		0.2535775631061221	201	terminal	True	
draw4459	True	1	2.405245469395962	2.4562448392806324	1.5367923951913685	0.5297424010191326		0.5297424010191326	171	terminal	True	
draw4485	True	1	0.05342675913899303	0.05420867216641295	0.07035155295144972	0.05512393702469429		0.05512393702469429	186	terminal	True	
draw4544	True	2	-0.20646756663413987	-0.18029196452831536	0.2497731768681425	0.09996389529984598	0.23644276101060208	0.23644276101060208	98	window	True	0.5464112176577092
draw4592	True	1	-0.46618174823825287	-0.38828060584096974	2.2360430094040167	2.1158030471553886		2.1158030471553886	40	window	False	
draw4627	True	2	-0.02583737117344094	-0.016791403888000753	0.13163386882382783	0.043956362612829175	0.13061575751482432	0.13061575751482432	101	window	True	0.6583366095391129
draw4640	True	1	3.4141844688676786	3.442524685683179	0.9781000897927702	0.542708503336668		0.542708503336668	82	terminal	True	
draw4644	True	1	0.26017927964448634	0.25904662410117063	0.3151847800466755	0.2968283286478153		0.2968283286478153	166	terminal	True	
draw4665	True	1	0.0461037814831409	0.04093089019630104	0.08843231545453208	0.08709427855107092		0.08709427855107092	176	terminal	True	
draw4676	True	2	-3.60084413117773	-3.577818229904633	0.8305841785660296	0.6104544921979908	0.6252818435269881	0.6252818435269881	191	window	True	0.017851714144851885
draw4714	True	2	-0.02195387058946552	-0.013037636983454948	0.41858072600720847	0.2416362230548486	0.4184576835806439	0.4184576835806439	99	window	True	0.42243096621403015
draw4854	True	2	-1.9951712289517016	-1.9287234570065028	0.1549182249706605	0.08756439439291813	0.10254610877870933	0.10254610877870933	165	window	True	0.09670724273163174
draw4882	True	2	-0.052116068540697336	-0.04486128213632068	0.42451597960363674	0.18643541735677438	0.4128742189869966	0.4128742189869966	107	window	True	0.5334046596824088
draw4884	True	2	-0.7464769549115035	-0.7438436531905113	0.6794700654657021	0.20612230893146613	0.6180836961236795	0.6180836961236795	187	window	True	0.6062980668763666
draw4922	True	1	0.003109426001239847	0.0038618375374613358	0.05452398653309058	0.054235667935766695		0.054235667935766695	167	terminal	True	
