fate	j	sigma	omega	amp_late	amp_mid	growth	drift	u_eq	a_eq	t_end	n_blocks_run	n_blocks_budget	t_block	efolds	converged	u_min	u_max	a_amp_rel	a_mean_over_eq	u_mean_over_eq	n_peaks	period	period_cv	peak_cv	period_predicted	name	frac	j_over_jcrit
cycle	0.3299195620149613	0.03156740579370954	0.3727122090454245	1.1889996583900087	1.1890099026517973	0.9999913842081838	0.0005615029410394302	0.6413252676281148	0.5868306432098177	5057.402323850749	3	8	1685.8007746169162	159.64907141904624	True	0.21778260043925438	0.9057250129588272	1.1562723384848368	1.127653564560758	0.902177525837155	37	21.49933471004306	0.009828870230768876	0.00027493888873167627	16.85800774616916	draw455	0.5	1.1477511461729448
cycle	0.3379352217303505	0.03436551607669883	0.391977901888613	1.1506804403006095	1.1506783568635053	1.0000018106164001	0.004092854392314047	0.5940776554096188	0.6306337716026766	4808.83127102792	3	8	1602.9437570093066	165.25796835464203	True	0.2277659567933322	0.8241155343307528	0.9441931770844095	1.1413011524316854	0.8723745095592531	36	20.843479711048758	0.006131899078004846	0.0001757413588659605	16.029437570093066	draw455	0.64	1.17563667854175
cycle	0.34595088144573966	0.031813919667241855	0.4004254728774027	0.9782647634991637	0.9783852111248382	0.9998768914081029	0.0018305994165725959	0.544769298652438	0.6770376154906502	4707.381822162419	3	8	1569.1272740541394	149.76026713330978	True	0.25797455402483876	0.7289329451274492	0.6943148924209154	1.1089100970641883	0.8837175994192441	38	19.618995674595453	0.0099000224887082	0.00013411502128265793	15.691272740541393	draw455	0.78	1.203522210910555
cycle	0.3539665411611288	0.0186526826957997	0.38907730624166265	0.6154513497914779	0.6154518056006844	0.9999992593909022	0.0013403937343447598	0.4893714093807951	0.7305736980468859	4844.681408848599	3	8	1614.893802949533	90.36630508149277	True	0.32334967365191086	0.6067332960891096	0.38277100855670154	1.0457003639875568	0.9408977415375789	42	18.172098307759143	0.009787662782644816	0.00011845872214685269	16.14893802949533	draw455	0.92	1.2314077432793602
cycle	0.03424858401434111	0.004964070635782699	0.06325592479278552	2.862088295927393	2.862072556542184	1.0000054992963658	1.5104358870734366e-05	1.135857134120865	0.04025092591127407	29798.87810238543	3	8	9932.95936746181	147.9237357673196	True	1.053458478970756	1.1948147926682775	2.5045546559472385	0.8750794514310035	1.0037819555814005	45	106.80601470389047	0.004839045084430816	0.002374497752635297	99.32959367461808	draw713	0.08	0.11916929433416257
cycle	0.035827948021852456	0.007800006130238714	0.08822134228905287	3.769947541700815	3.770065251741885	0.9999687777178351	6.224501790557555e-05	1.1140396019012344	0.06156897266664952	21366.208484766783	3	8	7122.069494922261	166.65655716113932	True	0.9889220103668739	1.2183603938244032	2.989556724598142	0.7929969028824737	1.0144202350291442	41	81.92428026167181	0.009897571695368547	0.0029493658291594566	71.2206949492226	draw713	0.22000000000000003	0.1246647534805346
cycle	0.0374073120293638	0.008328388920555967	0.10858227915754962	3.862702899878353	3.8568975728073656	1.001505180513975	0.00034413443153387944	1.0974499937113071	0.07951000183141235	17359.69816418075	3	8	5786.566054726917	144.57831785475872	True	0.9569487354510176	1.2333524193953833	2.990486054921906	0.7741952027985597	1.0237787084810903	40	69.45615669589688	0.00754086135019962	0.0027113528313244934	57.86566054726917	draw713	0.36000000000000004	0.13016021262690664
cycle	0.038986676036875154	0.007708392468897967	0.12598910475550215	3.6227894531637452	3.622798982606186	0.9999973695911678	0.00016963817940301448	1.0838600712739432	0.09555371427136135	14961.258720044654	3	8	4987.086240014884	115.32725404282625	True	0.9399653037961884	1.239808182408887	2.838631668636475	0.7835486178081719	1.0300436625147877	39	59.859999880148735	0.00845629551573813	0.0023825158009236954	49.870862400148845	draw713	0.5	0.1356556717732787
cycle	0.0405660400443865	0.006291379292232771	0.1412352979904788	3.158841433089001	3.155117272755971	1.0011803555972982	0.0003782782948411333	1.0722230145487364	0.11039192268523325	13346.20749184774	3	8	4448.735830615913	83.96605344405273	True	0.9340329067399303	1.2341892196707382	2.5647842476008775	0.8119382697512612	1.0317949995309048	40	52.285717439097425	0.010525695836726663	0.0018107105981344956	44.48735830615913	draw713	0.64	0.14115113091965076
cycle	0.042145404051897845	0.004248202974325762	0.15477530510968182	2.453329466143928	2.455456182154778	0.9991338815058864	0.0001558404302383306	1.0619694665699901	0.12441281905580412	16238.211393547555	4	8	4059.552848386889	68.9832179397992	True	0.9407554696408019	1.2092313764882916	2.11870148585849	0.8636025104237645	1.0267068511547706	42	46.696531889421294	0.010982798248616381	0.0013985789163945457	40.59552848386889	draw713	0.78	0.1466465900660228
cycle	0.04372476805940919	0.0016859576455174122	0.16690221544564376	1.4158886134443684	1.4158916456097272	0.9999978584764109	0.000304218008763799	1.0527536140326808	0.13786007910781184	18822.953579144898	5	19	3764.5907158289797	31.734702497978677	True	0.9702240756738619	1.1496824850728646	1.3341434752705168	0.9422658411137342	1.0125526829671416	45	39.53808703796403	0.010787135894617206	0.000791430335110893	37.645907158289795	draw713	0.92	0.15214204921239483
