u	a	j	eps	mode	lambda	R_j	G_j	w_dot_Fj	margin	grad_G
0.14529086926585508	0.07143276638832681	0.02998287890738971	1.0	influx	8.139030941187839	-0.027396332122915843	0.0017977306451139312	1.0420281174674197	1.0420281174674197	0.02205478326864911
0.752367731978837	0.11501737255590905	0.11171212487976756	1.0	influx	-0.1321852933979262	-0.12557560213308464	0.2872481349907605	1.087605623131324	1.087605623131324	0.8368822749422326
0.3908238609956142	0.35574950181834275	0.08153344651420771	1.0	influx	2.2422277455370727	-0.032498451115841286	0.02821449573579015	1.0957617762809673	1.0957617762809673	0.06797916824349978
0.8893149157359408	0.10889243689059226	0.0907735838427328	1.0	influx	4.145571214183558	-0.0694018890000037	0.006923933665411951	1.098105549092252	1.098105549092252	0.03865869794472395
0.16497469944311174	0.6041659194279063	0.0347800765203174	10.0	influx	0.9203934901578499	-0.19669059700898592	0.14281279773952896	1.328134566359678	1.328134566359678	0.1394322967484994
0.41030049464891916	2.5838500750290723	0.06587611667424988	10.0	influx	-0.27873079589176264	-0.6735892975247484	1.3576104679989607	1.2951814512684097	1.2951814512684097	0.4977293448117979
0.02958423749820423	0.006029198748809414	0.013198356333305012	10.0	influx	95.6869378572361	-0.05267839665912763	0.0017872275782005584	1.223692730871143	1.223692730871143	0.004552900485619197
0.10739917383735414	0.00302511266929262	0.354220666771408	10.0	influx	2.861461030778346	-0.7789691825118492	0.0029300666053658575	1.7873534539206886	1.7873534539206886	0.36497341083164875
0.13222724814189987	0.036513410423554306	0.1677726483307982	10.0	influx	0.8828452375269333	-0.6382160188379129	0.012523017751940596	1.649271905419679	1.649271905419679	0.21316935097428677
0.8642001026228464	0.06518020564483747	0.008959523725612989	10.0	influx	-0.052008097866971754	-0.1584887683936457	1.666635323711882	1.071810235369486	1.071810235369486	0.32141912987506555
0.598947860830279	0.08559395584133635	0.0751531613671281	10.0	influx	-0.1311293637889801	-0.5047381142321088	0.9953920625283805	1.3742129863521615	1.3742129863521615	0.6596415679056294
0.6421974952666453	7.4347175229290266e-06	0.025506276695010946	10.0	influx	-0.9956418374574175	-0.20648925904977106	0.004139919459476962	1.2023673820322118	1.2023673820322118	14.57018492642232
0.26776850284139186	0.307084595317163	0.05244868024133344	10.0	influx	2.238518121583844	-0.16237936084614737	0.12728148500363176	1.4473012715688793	1.4473012715688793	0.06412847328622831
0.7391329964817878	0.07983384220521879	0.05839999727193062	10.0	influx	3.916981864453483	-0.3321691395038789	0.026793156121829594	1.4371174461245562	1.4371174461245562	0.035239839428147554
0.17096135263333231	1.9931849930982082	0.03250050708542232	100.0	influx	-0.25583777832180643	-1.0817900074035245	1.9583007979118925	1.5807826819799253	1.5807826819799253	0.47041197427777387
0.13720374902285357	0.014259337350645803	0.02037337815122336	100.0	influx	50.47699509361373	-0.2805113073527712	0.012785558372269098	1.9258878745789105	1.9258878745789105	0.0027506276266410713
