name	ok	n_turns	j_crit	j_turn	ratio
nu=0.09179,chi=0.567	True	1	0.17377219384174275	0.17373137864394508	0.999765122388713
nu=0.09179,chi=0.633	True	0	0.16571908229674326		
nu=0.09179,chi=0.7	True	0	0.15785118527366696		
nu=0.09179,chi=0.767	True	0	0.15017088367712944		
nu=0.09179,chi=0.833	True	0	0.14267659023757054		
nu=0.09179,chi=0.9	True	0	0.13536354314569643		
nu=0.126,chi=0.1	True	1	0.23429551938810408	0.23129285711104913	0.9871842949242187
nu=0.126,chi=0.167	True	1	0.22510468692631302	0.2227109721687233	0.9893662153806095
nu=0.126,chi=0.233	True	1	0.21600383562285025	0.21419728173413657	0.9916364731047278
nu=0.126,chi=0.3	True	1	0.20700656076134738	0.20575451566432487	0.9939516646602039
nu=0.126,chi=0.367	True	1	0.19812673794090135	0.19728506377274696	0.9957518395704599
nu=0.126,chi=0.433	True	1	0.18937838291856776	0.1889132367597411	0.9975438265357526
nu=0.126,chi=0.5	True	1	0.18077481066304263	0.18055620769382097	0.9987907443054711
nu=0.126,chi=0.567	True	1	0.17232807611427967	0.17226831230740647	0.999653197504314
nu=0.126,chi=0.633	True	0	0.16404768740275164		
nu=0.126,chi=0.7	True	0	0.15594031107803008		
nu=0.126,chi=0.767	True	0	0.14800932008829573		
nu=0.126,chi=0.833	True	0	0.14025451602470232		
nu=0.126,chi=0.9	True	0	0.13267242673492613		
nu=0.1729,chi=0.1	True	1	0.23403005998912585	0.2310084999918519	0.9870890090041666
nu=0.1729,chi=0.167	True	1	0.22464833388796707	0.2222198985461036	0.9891900585246516
nu=0.1729,chi=0.233	True	1	0.21534439426973026	0.21349128670193684	0.9913946793271419
nu=0.1729,chi=0.3	True	1	0.2061304358093528	0.20482629273333014	0.9936732143853377
nu=0.1729,chi=0.367	True	1	0.19701893253073624	0.19612810013408294	0.9954784426795413
nu=0.1729,chi=0.433	True	1	0.18802333955999972	0.1875063825628643	0.9972505700710074
nu=0.1729,chi=0.5	True	1	0.17915613092067945	0.17891431104789834	0.998650228314608
nu=0.1729,chi=0.567	True	1	0.17042910644073286	0.17034315414682225	0.9994956712752554
nu=0.1729,chi=0.633	True	0	0.16185189831297364		
nu=0.1729,chi=0.7	True	0	0.15343212748928664		
nu=0.1729,chi=0.767	True	0	0.14517415896077468		
nu=0.1729,chi=0.833	True	0	0.13707938158875396		
nu=0.1729,chi=0.9	True	0	0.1291458112857234		
