name	ok	n_candidates	n_polished	n_max	n_min	has_both	j_at_max	j_at_min	orient_agree	orient_n	group
draw4690	True	1	1	1	0	False	0.18651584709597516		1	1	d2R<0
draw4721	True	1	1	1	0	False	0.020840180419062816		1	1	d2R<0
draw4748	True	1	1	1	0	False	0.5949725102782031		1	1	d2R<0
draw4785	True	1	1	1	0	False	0.009114456940515138		1	1	d2R<0
draw4822	True	1	1	1	0	False	0.03684278527656804		1	1	d2R<0
draw4859	True	1	1	1	0	False	1.0619514291608967		1	1	d2R<0
draw4887	True	1	1	1	0	False	2.101186531626999		1	1	d2R<0
draw4925	True	1	1	1	0	False	0.007076035012390881		1	1	d2R<0
draw4961	True	1	1	1	0	False	0.10176731217809884		1	1	d2R<0
draw4995	True	1	1	1	0	False	0.16728291251046298		1	1	d2R<0
